Date : 2023-12-06 19:37:27
Directory : /Users/derekhsieh/vertix/obsidian
Total : 61 files,  9762 codes, 369 comments, 621 blanks, all 10752 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/derekhsieh/vertix/obsidian/stores/behavioralStore.ts            | TypeScript         |         11 |          0 |          6 |         17 |
| /Users/derekhsieh/vertix/obsidian/stores/compilationStore.ts           | TypeScript         |         27 |          0 |         10 |         37 |
| /Users/derekhsieh/vertix/obsidian/stores/dataStore.ts                  | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/derekhsieh/vertix/obsidian/stores/globalState.ts                | TypeScript         |         25 |          0 |          6 |         31 |
| /Users/derekhsieh/vertix/obsidian/stores/priorStore.ts                 | TypeScript         |         34 |          1 |         12 |         47 |
| /Users/derekhsieh/vertix/obsidian/tailwind.config.js                   | JavaScript         |         75 |          1 |          0 |         76 |
| /Users/derekhsieh/vertix/obsidian/tailwind.config.ts                   | TypeScript         |         21 |          0 |          2 |         23 |
| /Users/derekhsieh/vertix/obsidian/tsconfig.json                        | JSON with Comments |         26 |          2 |          1 |         29 |
| /Users/derekhsieh/vertix/obsidian/utils/bagOfWords.ts                  | TypeScript         |         90 |        228 |         70 |        388 |
| /Users/derekhsieh/vertix/obsidian/utils/compileClient.ts               | TypeScript         |         26 |          0 |          8 |         34 |
| /Users/derekhsieh/vertix/obsidian/utils/speechClient.ts                | TypeScript         |         31 |          0 |          8 |         39 |
| /Users/derekhsieh/vertix/obsidian/utils/stopWords.ts                   | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/derekhsieh/vertix/obsidian/utils/syntaxHighlight.ts             | TypeScript         |         18 |          8 |          3 |         29 |
| /Users/derekhsieh/vertix/obsidian/utils/talkingNaiveBayes.ts           | TypeScript         |         52 |          3 |         20 |         75 |
| Total                                                                  |                    |      9,762 |        369 |        621 |     10,752 |
+------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
